"Notes"	"Year"	"Year Code"	"Cancer Sites"	"Cancer Sites Code"	"Sex"	"Sex Code"	Count
	"2006"	"2006"	"All Invasive Cancer Sites Combined"	"0"	"Female"	"F"	51388
	"2006"	"2006"	"All Invasive Cancer Sites Combined"	"0"	"Male"	"M"	53418
	"2006"	"2006"	"Oral Cavity and Pharynx"	"20010-20100"	"Female"	"F"	667
	"2006"	"2006"	"Oral Cavity and Pharynx"	"20010-20100"	"Male"	"M"	1410
	"2006"	"2006"	"Lip"	"20010"	"Female"	"F"	24
	"2006"	"2006"	"Lip"	"20010"	"Male"	"M"	58
	"2006"	"2006"	"Tongue"	"20020"	"Female"	"F"	165
	"2006"	"2006"	"Tongue"	"20020"	"Male"	"M"	401
	"2006"	"2006"	"Salivary Gland"	"20030"	"Female"	"F"	119
	"2006"	"2006"	"Salivary Gland"	"20030"	"Male"	"M"	142
	"2006"	"2006"	"Floor of Mouth"	"20040"	"Female"	"F"	40
	"2006"	"2006"	"Floor of Mouth"	"20040"	"Male"	"M"	79
	"2006"	"2006"	"Gum and Other Mouth"	"20050"	"Female"	"F"	152
	"2006"	"2006"	"Gum and Other Mouth"	"20050"	"Male"	"M"	192
	"2006"	"2006"	"Nasopharynx"	"20060"	"Female"	"F"	45
	"2006"	"2006"	"Nasopharynx"	"20060"	"Male"	"M"	95
	"2006"	"2006"	"Tonsil"	"20070"	"Female"	"F"	62
	"2006"	"2006"	"Tonsil"	"20070"	"Male"	"M"	244
	"2006"	"2006"	"Oropharynx"	"20080"	"Female"	"F"	18
	"2006"	"2006"	"Oropharynx"	"20080"	"Male"	"M"	65
	"2006"	"2006"	"Hypopharynx"	"20090"	"Female"	"F"	30
	"2006"	"2006"	"Hypopharynx"	"20090"	"Male"	"M"	114
	"2006"	"2006"	"Other Oral Cavity and Pharynx"	"20100"	"Male"	"M"	20
	"2006"	"2006"	"Digestive System"	"21010-21130"	"Female"	"F"	9166
	"2006"	"2006"	"Digestive System"	"21010-21130"	"Male"	"M"	10035
	"2006"	"2006"	"Esophagus"	"21010"	"Female"	"F"	257
	"2006"	"2006"	"Esophagus"	"21010"	"Male"	"M"	831
	"2006"	"2006"	"Stomach"	"21020"	"Female"	"F"	767
	"2006"	"2006"	"Stomach"	"21020"	"Male"	"M"	1095
	"2006"	"2006"	"Small Intestine"	"21030"	"Female"	"F"	217
	"2006"	"2006"	"Small Intestine"	"21030"	"Male"	"M"	263
	"2006"	"2006"	"Colon and Rectum"	"21041-21052"	"Female"	"F"	5165
	"2006"	"2006"	"Colon and Rectum"	"21041-21052"	"Male"	"M"	4894
	"2006"	"2006"	"Colon excluding Rectum"	"21041-21049"	"Female"	"F"	3877
	"2006"	"2006"	"Colon excluding Rectum"	"21041-21049"	"Male"	"M"	3434
	"2006"	"2006"	"Cecum"	"21041"	"Female"	"F"	893
	"2006"	"2006"	"Cecum"	"21041"	"Male"	"M"	677
	"2006"	"2006"	"Appendix"	"21042"	"Female"	"F"	107
	"2006"	"2006"	"Appendix"	"21042"	"Male"	"M"	67
	"2006"	"2006"	"Ascending Colon"	"21043"	"Female"	"F"	757
	"2006"	"2006"	"Ascending Colon"	"21043"	"Male"	"M"	626
	"2006"	"2006"	"Hepatic Flexure"	"21044"	"Female"	"F"	195
	"2006"	"2006"	"Hepatic Flexure"	"21044"	"Male"	"M"	153
	"2006"	"2006"	"Transverse Colon"	"21045"	"Female"	"F"	384
	"2006"	"2006"	"Transverse Colon"	"21045"	"Male"	"M"	284
	"2006"	"2006"	"Splenic Flexure"	"21046"	"Female"	"F"	126
	"2006"	"2006"	"Splenic Flexure"	"21046"	"Male"	"M"	94
	"2006"	"2006"	"Descending Colon"	"21047"	"Female"	"F"	210
	"2006"	"2006"	"Descending Colon"	"21047"	"Male"	"M"	234
	"2006"	"2006"	"Sigmoid Colon"	"21048"	"Female"	"F"	898
	"2006"	"2006"	"Sigmoid Colon"	"21048"	"Male"	"M"	1046
	"2006"	"2006"	"Large Intestine, NOS"	"21049"	"Female"	"F"	307
	"2006"	"2006"	"Large Intestine, NOS"	"21049"	"Male"	"M"	253
	"2006"	"2006"	"Rectum and Rectosigmoid Junction"	"21051-21052"	"Female"	"F"	1288
	"2006"	"2006"	"Rectum and Rectosigmoid Junction"	"21051-21052"	"Male"	"M"	1460
	"2006"	"2006"	"Rectosigmoid Junction"	"21051"	"Female"	"F"	380
	"2006"	"2006"	"Rectosigmoid Junction"	"21051"	"Male"	"M"	415
	"2006"	"2006"	"Rectum"	"21052"	"Female"	"F"	908
	"2006"	"2006"	"Rectum"	"21052"	"Male"	"M"	1045
	"2006"	"2006"	"Anus, Anal Canal and Anorectum"	"21060"	"Female"	"F"	210
	"2006"	"2006"	"Anus, Anal Canal and Anorectum"	"21060"	"Male"	"M"	156
